experiment_id,experiment_run,round,client_id,mmd
1,3,1,2,0.3662325143814087
1,3,1,7,0.37361693382263184
1,3,1,1,0.3662693500518799
1,3,1,8,0.3697683811187744
1,3,1,5,0.37549901008605957
1,3,1,6,0.3655738830566406
1,3,1,9,0.37689995765686035
1,3,1,3,0.3815169334411621
1,3,1,0,0.36173176765441895
1,3,1,4,0.3890568017959595
1,3,2,6,0.22347867488861084
1,3,2,4,0.21748650074005127
1,3,2,2,0.21978628635406494
1,3,2,3,0.23386728763580322
1,3,2,8,0.23813164234161377
1,3,2,9,0.20553815364837646
1,3,2,5,0.20770549774169922
1,3,2,7,0.23739278316497803
1,3,2,1,0.22495591640472412
1,3,2,0,0.21106719970703125
1,3,3,7,0.01905202865600586
1,3,3,0,0.03337979316711426
1,3,3,8,0.056652069091796875
1,3,3,2,0.026348471641540527
1,3,3,9,0.04351174831390381
1,3,3,3,0.039168477058410645
1,3,3,5,0.023358464241027832
1,3,3,6,0.04206430912017822
1,3,3,1,0.023557066917419434
1,3,3,4,0.039231300354003906
1,3,4,3,0.027728796005249023
1,3,4,7,0.013611793518066406
1,3,4,9,0.021360039710998535
1,3,4,8,0.03069901466369629
1,3,4,5,0.012235164642333984
1,3,4,1,0.01573348045349121
1,3,4,0,0.023219943046569824
1,3,4,6,0.02587282657623291
1,3,4,4,0.02717447280883789
1,3,4,2,0.016985774040222168
1,3,5,7,0.013080120086669922
1,3,5,8,0.022328853607177734
1,3,5,4,0.022621989250183105
1,3,5,6,0.016150951385498047
1,3,5,5,0.01481616497039795
1,3,5,1,0.008408665657043457
1,3,5,9,0.016884446144104004
1,3,5,0,0.01858842372894287
1,3,5,3,0.02107071876525879
1,3,5,2,0.013332605361938477
1,3,6,5,0.015356302261352539
1,3,6,6,0.019400596618652344
1,3,6,1,0.012372374534606934
1,3,6,8,0.028443455696105957
1,3,6,7,0.011588692665100098
1,3,6,3,0.018180251121520996
1,3,6,4,0.02211439609527588
1,3,6,2,0.013549566268920898
1,3,6,9,0.024082064628601074
1,3,6,0,0.018514394760131836
1,3,7,7,0.009575605392456055
1,3,7,5,0.012944340705871582
1,3,7,3,0.014841318130493164
1,3,7,6,0.01846909523010254
1,3,7,1,0.00817859172821045
1,3,7,8,0.02681124210357666
1,3,7,0,0.017143607139587402
1,3,7,9,0.01652836799621582
1,3,7,4,0.017980337142944336
1,3,7,2,0.010354399681091309
1,3,8,9,0.010521769523620605
1,3,8,7,0.009640097618103027
1,3,8,5,0.009628057479858398
1,3,8,0,0.010732054710388184
1,3,8,4,0.019747614860534668
1,3,8,3,0.014320611953735352
1,3,8,2,0.010722637176513672
1,3,8,1,0.006915092468261719
1,3,8,8,0.02486741542816162
1,3,8,6,0.014848828315734863
1,3,9,5,0.006421923637390137
1,3,9,4,0.025325655937194824
1,3,9,9,0.014553546905517578
1,3,9,1,0.008839607238769531
1,3,9,0,0.010562896728515625
1,3,9,2,0.0219879150390625
1,3,9,6,0.01491689682006836
1,3,9,3,0.0138319730758667
1,3,9,7,0.008480548858642578
1,3,9,8,0.02789306640625
1,3,10,6,0.013677120208740234
1,3,10,3,0.019653797149658203
1,3,10,5,0.008946776390075684
1,3,10,8,0.018053054809570312
1,3,10,1,0.006613969802856445
1,3,10,2,0.012714505195617676
1,3,10,7,0.008860111236572266
1,3,10,9,0.00852656364440918
1,3,10,4,0.014560461044311523
1,3,10,0,0.008863449096679688
