experiment_id,experiment_run,round,global_accuracy
2,3,0,0.145
2,3,1,0.3128
2,3,2,0.8312
2,3,3,0.8847
2,3,4,0.8935
2,3,5,0.9017
2,3,6,0.9066
2,3,7,0.9088
2,3,8,0.911
2,3,9,0.9133
2,3,10,0.9129
