experiment_id,experiment_run,round,client_id,js
3,1,1,82,1.0282773971557617
3,1,1,71,0.7411193251609802
3,1,1,43,0.8998546600341797
3,1,1,36,0.7946638464927673
3,1,1,61,0.660801112651825
3,1,2,41,0.5976032614707947
3,1,2,93,0.6621159315109253
3,1,2,35,0.8414142727851868
3,1,2,11,0.927949845790863
3,1,2,37,0.809660792350769
3,1,2,95,0.9150416254997253
3,1,2,38,1.0867327451705933
3,1,2,19,0.6469859480857849
3,1,2,62,0.7317901253700256
3,1,2,30,0.5195887088775635
3,1,2,24,0.9217323064804077
3,1,2,44,0.8229126334190369
3,1,2,2,0.6955405473709106
3,1,2,78,0.9024875164031982
3,1,2,77,1.0307008028030396
3,1,2,59,0.6921705603599548
3,1,2,33,0.33003726601600647
3,1,2,85,0.7770102620124817
3,1,2,50,0.6362269520759583
3,1,2,20,0.7640960216522217
3,1,2,40,0.8068677186965942
3,1,2,32,0.6456278562545776
3,1,2,80,0.640484631061554
3,1,2,88,0.8527703285217285
3,1,2,45,0.7464000582695007
3,1,2,36,0.8231284618377686
3,1,2,49,0.6633265018463135
3,1,2,15,0.4983477294445038
3,1,2,57,1.2800650596618652
3,1,2,53,0.7327913641929626
3,1,2,18,0.5436849594116211
3,1,2,6,0.9120489954948425
3,1,2,98,0.8994932174682617
3,1,2,48,0.29870399832725525
3,1,2,42,0.8683502674102783
3,1,2,96,1.4141170978546143
3,1,2,60,0.6737871170043945
3,1,2,1,0.9293994903564453
3,1,2,5,0.41687464714050293
3,1,2,23,0.3322206139564514
3,1,2,94,0.8621260523796082
3,1,2,89,1.0403450727462769
3,1,2,76,0.5399385690689087
3,1,2,27,0.3786299526691437
3,1,2,99,0.6663358807563782
3,1,2,3,0.8985663652420044
3,1,2,74,0.5232831835746765
3,1,2,92,0.4306477904319763
3,1,2,28,0.7839059829711914
3,1,2,25,1.0891972780227661
3,1,2,52,0.9145886898040771
3,1,2,22,0.9352090954780579
3,1,2,68,1.1697137355804443
3,1,2,72,1.1500636339187622
3,1,2,16,0.6799989342689514
3,1,2,10,1.0955255031585693
3,1,2,0,1.217276692390442
3,1,2,79,0.9264708757400513
3,1,2,39,1.0583456754684448
3,1,2,84,1.017782211303711
3,1,2,31,0.5966393947601318
3,1,2,43,0.8701457977294922
3,1,2,7,0.6769862174987793
3,1,2,70,0.4134019911289215
3,1,2,14,0.9039958119392395
3,1,2,54,0.613400936126709
3,1,2,66,0.6498921513557434
3,1,2,4,0.3979645073413849
3,1,2,26,0.97340327501297
3,1,2,58,0.6612344980239868
3,1,2,56,0.5410163998603821
3,1,2,64,0.6272372603416443
3,1,2,82,0.9020829796791077
3,1,2,61,1.1087150573730469
3,1,2,17,1.0568407773971558
3,1,2,29,0.938143789768219
3,1,2,91,0.7861341238021851
3,1,2,51,0.9344217777252197
3,1,2,8,0.935472846031189
3,1,2,13,0.824046790599823
3,1,2,9,1.0205490589141846
3,1,2,86,0.6637309789657593
3,1,2,34,0.8550629019737244
3,1,2,47,0.9410088062286377
3,1,2,97,0.8501484990119934
3,1,2,65,0.6284710764884949
3,1,2,69,0.6263018846511841
3,1,2,46,0.8245852589607239
3,1,2,75,0.8311494588851929
3,1,2,83,0.8099919557571411
3,1,2,73,0.6165285110473633
3,1,2,90,1.10817289352417
3,1,2,87,0.8147062659263611
3,1,2,63,0.4341840445995331
3,1,2,12,0.4526376724243164
3,1,2,81,0.8595290184020996
3,1,2,67,1.1425753831863403
3,1,2,71,0.6379939913749695
3,1,2,21,0.3111090064048767
3,1,2,55,0.7173498868942261
3,1,3,89,0.6665337681770325
3,1,3,3,0.588193416595459
3,1,3,60,0.574947714805603
3,1,3,87,0.5852037072181702
3,1,3,68,0.5880422592163086
3,1,3,55,0.5658848881721497
3,1,3,65,0.601669430732727
3,1,3,99,0.4493594467639923
3,1,3,83,0.7311239242553711
3,1,3,88,0.5602079629898071
3,1,3,96,0.5850675106048584
3,1,3,85,0.4137139618396759
3,1,3,30,0.5428232550621033
3,1,3,1,0.6865058541297913
3,1,3,97,0.6380776166915894
3,1,3,91,0.5098691582679749
3,1,3,48,0.30418622493743896
3,1,3,33,0.2576182782649994
3,1,3,75,0.7714125514030457
3,1,3,81,0.5557858347892761
3,1,3,76,0.6879931092262268
3,1,3,27,0.6659877896308899
3,1,3,36,0.9323525428771973
3,1,3,70,0.7783729434013367
3,1,3,14,0.7051813006401062
3,1,3,31,0.480198472738266
3,1,3,28,0.4917871356010437
3,1,3,15,0.6085299253463745
3,1,3,41,0.4978014826774597
3,1,3,37,0.7582283020019531
3,1,3,59,0.5732919573783875
3,1,3,53,0.7260383367538452
3,1,3,74,0.5842550992965698
3,1,3,73,0.5521968603134155
3,1,3,80,0.6026544570922852
3,1,3,4,0.7538456320762634
3,1,3,69,0.4191837012767792
3,1,3,35,0.4552461802959442
3,1,3,44,0.5069080591201782
3,1,3,77,0.5317041873931885
3,1,3,2,0.6667835116386414
3,1,3,40,0.49267250299453735
3,1,3,78,0.5836913585662842
3,1,3,72,0.7043911814689636
3,1,3,34,0.5504069924354553
3,1,3,19,0.47844815254211426
3,1,3,29,0.7206032872200012
3,1,3,26,0.6126781702041626
3,1,3,46,0.781689465045929
3,1,3,82,0.6395018696784973
3,1,3,95,0.45685213804244995
3,1,3,0,0.8679582476615906
3,1,3,10,0.6871902942657471
3,1,3,50,0.6453565955162048
3,1,3,58,0.5442162752151489
3,1,3,32,0.6537907123565674
3,1,3,17,0.7966144680976868
3,1,3,24,0.5243801474571228
3,1,3,18,0.6751158237457275
3,1,3,57,0.8608106970787048
