experiment_id,experiment_run,round,client_id,fid
2,0,1,4,0.8135762157578302
2,0,1,20,1.1599960306392658
2,0,1,24,1.1853369680723027
2,0,1,21,0.923857284971411
2,0,1,11,1.193929385632896
2,0,1,23,1.2955526996712148
2,0,1,7,1.0346014727429278
2,0,1,12,0.993039363062215
2,0,1,1,0.962114693650273
2,0,1,0,1.2049134913399875
2,0,1,18,0.9342561428046142
2,0,1,5,1.1766265328618688
2,0,1,3,1.3076159241274048
2,0,1,14,1.0872911257377995
2,0,1,2,0.8746987416315529
2,0,1,9,0.9548877533863933
2,0,1,8,1.2902708753766818
2,0,1,10,1.0274553231661399
2,0,1,6,1.1193900272404196
2,0,1,16,0.93274709389831
2,0,1,19,1.1429627320796223
2,0,1,15,1.2235395243484675
2,0,1,22,1.072841559034409
2,0,1,17,1.0017054098662714
2,0,1,13,1.009333450813622
2,0,2,6,0.5785878322014045
2,0,2,24,0.45581080847868743
2,0,2,2,0.8024442609989935
2,0,2,11,0.9114149819868292
2,0,2,10,0.8644005208038571
2,0,2,7,0.9145500922446191
2,0,2,13,0.7233254825988393
2,0,2,8,1.1344874350528287
2,0,2,20,0.8269059244277879
2,0,2,15,0.6131915399912418
2,0,2,1,1.0237113173126768
2,0,2,3,0.48529226098927536
2,0,2,22,0.8031516569929383
2,0,2,0,0.9672565487430991
2,0,2,12,0.7547383524932602
2,0,2,18,0.7806135120483165
2,0,2,4,0.7702275174621273
2,0,2,21,0.6950940709922797
2,0,2,17,0.9027400226553269
2,0,2,5,0.8853307444864119
2,0,2,14,0.8075582168138743
2,0,2,9,0.9367050795894347
2,0,2,23,0.6893224555033707
2,0,2,19,0.9885216393033424
2,0,2,16,0.8272494460686296
2,0,3,18,0.5476331220418702
2,0,3,14,0.6299709979665009
2,0,3,15,0.4064276575017528
2,0,3,1,0.6776892813596438
2,0,3,22,0.839533582489839
2,0,3,7,0.6660225412702662
2,0,3,5,0.6679324995218685
2,0,3,19,0.7591292969646901
2,0,3,9,0.5020946853444457
2,0,3,3,0.40478827060161376
2,0,3,24,0.40759599518752265
2,0,3,10,0.7578432307542977
2,0,3,16,0.7605165328099335
2,0,3,2,0.6829030595531399
2,0,3,0,0.9119304241218174
2,0,3,11,0.595484046967812
2,0,3,23,0.530575054338611
2,0,3,4,0.5911750721936814
2,0,3,6,0.4288767390774525
2,0,3,20,0.774547927056568
2,0,3,13,0.4635215249541935
2,0,3,17,0.6892825799709461
2,0,3,21,0.61378079528675
2,0,3,12,0.5335741044370436
2,0,3,8,0.9843227399622885
2,0,4,2,0.45882813891722474
2,0,4,21,0.5230391751273865
2,0,4,0,0.7818182673225554
2,0,4,4,0.4743448451692726
2,0,4,24,0.2823438974790526
2,0,4,19,0.631515425211601
2,0,4,13,0.32049407618730613
2,0,4,10,0.6060355998685464
2,0,4,15,0.3373266802884048
2,0,4,12,0.5157487395066047
2,0,4,7,0.5376090582016543
2,0,4,8,0.8544267261277108
2,0,4,11,0.5132338303273898
2,0,4,14,0.5025686778018661
2,0,4,20,0.6080702522938287
2,0,4,22,0.7276006665827239
2,0,4,6,0.2903393945741397
2,0,4,16,0.5522195169720079
2,0,4,5,0.5471445005964319
2,0,4,17,0.474830809712236
2,0,4,23,0.35871240692587664
