experiment_id,experiment_run,round,client_id,mmd
2,2,1,22,0.37043464183807373
2,2,1,10,0.36975979804992676
2,2,1,3,0.37146759033203125
2,2,1,5,0.3827695846557617
2,2,1,11,0.3827197551727295
2,2,1,24,0.3726766109466553
2,2,1,9,0.4059208631515503
2,2,1,16,0.3839423656463623
2,2,1,14,0.38506102561950684
2,2,1,23,0.36692261695861816
2,2,1,4,0.3744310140609741
2,2,1,6,0.4122990369796753
2,2,1,13,0.3801863193511963
2,2,1,12,0.393701434135437
2,2,1,1,0.3807743787765503
2,2,1,15,0.36690330505371094
2,2,1,2,0.377602219581604
2,2,1,18,0.3804590702056885
2,2,1,7,0.3781585693359375
2,2,1,19,0.3744865655899048
2,2,1,20,0.40236568450927734
2,2,1,0,0.3800250291824341
2,2,1,17,0.39252758026123047
2,2,1,21,0.37160325050354004
2,2,1,8,0.37281858921051025
2,2,2,19,0.26999497413635254
2,2,2,2,0.25365638732910156
2,2,2,10,0.28007757663726807
2,2,2,15,0.2245464324951172
2,2,2,18,0.25406312942504883
2,2,2,17,0.36259281635284424
2,2,2,21,0.27226972579956055
2,2,2,9,0.2593832015991211
2,2,2,7,0.2386610507965088
2,2,2,4,0.27517175674438477
2,2,2,1,0.24279677867889404
2,2,2,12,0.3186662197113037
2,2,2,5,0.275234580039978
2,2,2,3,0.2721449136734009
2,2,2,11,0.25010764598846436
2,2,2,8,0.22309553623199463
2,2,2,14,0.26094627380371094
2,2,2,22,0.24390792846679688
2,2,2,6,0.3125506639480591
2,2,2,13,0.2642204761505127
2,2,2,20,0.3458651304244995
2,2,2,16,0.29325032234191895
2,2,2,24,0.26211464405059814
2,2,2,23,0.2961767911911011
2,2,2,0,0.23615729808807373
2,2,3,14,0.10473763942718506
2,2,3,17,0.10482490062713623
2,2,3,5,0.09474146366119385
2,2,3,19,0.0974283218383789
2,2,3,7,0.09888911247253418
2,2,3,15,0.08072304725646973
2,2,3,23,0.09320127964019775
2,2,3,11,0.09109270572662354
2,2,3,9,0.0870290994644165
2,2,3,22,0.09584105014801025
2,2,3,8,0.07052981853485107
2,2,3,2,0.08761608600616455
2,2,3,3,0.11332941055297852
2,2,3,13,0.08094477653503418
2,2,3,21,0.10408639907836914
2,2,3,4,0.1141061782836914
2,2,3,18,0.08286929130554199
2,2,3,12,0.16615593433380127
2,2,3,10,0.06914770603179932
2,2,3,24,0.08398807048797607
2,2,3,16,0.08468163013458252
2,2,3,20,0.10895216464996338
2,2,3,1,0.06358957290649414
2,2,3,0,0.0958930253982544
2,2,3,6,0.09604942798614502
2,2,4,22,0.025308847427368164
2,2,4,8,0.02903616428375244
2,2,4,3,0.03563547134399414
2,2,4,6,0.04175233840942383
2,2,4,13,0.029141664505004883
