experiment_id,experiment_run,round,global_accuracy
2,2,0,0.1037
2,2,1,0.7208
2,2,2,0.555
2,2,3,0.7461
2,2,4,0.8345
2,2,5,0.857
2,2,6,0.8784
2,2,7,0.8852
2,2,8,0.894
2,2,9,0.8988
2,2,10,0.8988
