experiment_id,experiment_run,round,client_id,accuracy
1,1,1,1,0.06859592711682744
1,1,1,0,0.06877662811929397
1,1,1,7,0.062452399086062454
1,1,1,9,0.0
1,1,1,3,0.019138755980861243
1,1,1,8,0.17321016166281755
1,1,1,6,0.0038461538461538464
1,1,1,2,0.0
1,1,1,5,0.025552486187845305
1,1,1,4,0.3230500582072177
1,1,2,9,0.38781804163454126
1,1,2,3,0.03349282296650718
1,1,2,5,0.08218232044198895
1,1,2,8,0.2090069284064665
1,1,2,1,0.028938906752411574
1,1,2,2,0.1918238993710692
1,1,2,4,0.3277066356228172
1,1,2,7,0.10586443259710586
1,1,2,0,0.12720632988435787
1,1,2,6,0.45
1,1,3,3,0.05741626794258373
1,1,3,4,0.3352735739231665
1,1,3,0,0.1898965307364577
1,1,3,2,0.2138364779874214
1,1,3,5,0.08080110497237569
1,1,3,7,0.26808834729626807
1,1,3,8,0.22401847575057737
1,1,3,9,0.43407864302235927
1,1,3,6,0.4346153846153846
1,1,3,1,0.03429796355841372
1,1,4,2,0.2169811320754717
1,1,4,6,0.4846153846153846
1,1,4,8,0.28752886836027713
1,1,4,9,0.4772552043176561
1,1,4,3,0.23923444976076555
1,1,4,5,0.09046961325966851
1,1,4,7,0.3335872048743336
1,1,4,1,0.13719185423365488
1,1,4,0,0.278149726110773
1,1,4,4,0.42374854481955765
1,1,5,4,0.4109429569266589
1,1,5,6,0.5230769230769231
1,1,5,0,0.3584905660377358
1,1,5,5,0.08287292817679558
1,1,5,9,0.5080956052428681
1,1,5,2,0.2358490566037736
1,1,5,3,0.3349282296650718
1,1,5,8,0.40415704387990764
1,1,5,7,0.32673267326732675
1,1,5,1,0.2765273311897106
1,1,6,0,0.3676202069385271
1,1,6,5,0.09806629834254144
1,1,6,8,0.44110854503464203
1,1,6,1,0.31939978563772775
1,1,6,9,0.48727833461835
1,1,6,6,0.5115384615384615
1,1,6,4,0.4109429569266589
1,1,6,2,0.2672955974842767
1,1,6,3,0.3875598086124402
1,1,6,7,0.26123381568926124
1,1,7,4,0.4551804423748545
1,1,7,6,0.4807692307692308
1,1,7,7,0.45773038842345776
1,1,7,9,0.5142636854279106
1,1,7,0,0.5094339622641509
1,1,7,3,0.4258373205741627
1,1,7,2,0.2389937106918239
1,1,7,5,0.1712707182320442
1,1,7,8,0.4722863741339492
1,1,7,1,0.4008574490889603
1,1,8,7,0.4638233054074638
1,1,8,2,0.25471698113207547
1,1,8,3,0.45454545454545453
1,1,8,0,0.5356055995130858
1,1,8,5,0.18853591160220995
1,1,8,6,0.5192307692307693
1,1,8,1,0.43944265809217575
1,1,8,8,0.4896073903002309
1,1,8,9,0.525828835774865
1,1,8,4,0.4627473806752037
1,1,9,3,0.4449760765550239
1,1,9,4,0.48253783469150174
1,1,9,0,0.49543517954960437
1,1,9,2,0.22955974842767296
1,1,9,7,0.4691546077684692
1,1,9,1,0.4640943193997856
1,1,9,5,0.16022099447513813
1,1,9,8,0.5392609699769053
1,1,9,9,0.5543562066306862
1,1,9,6,0.5538461538461539
1,1,10,4,0.48777648428405124
1,1,10,8,0.45381062355658197
1,1,10,3,0.5311004784688995
1,1,10,6,0.5884615384615385
1,1,10,1,0.4008574490889603
1,1,10,2,0.24213836477987422
1,1,10,5,0.2824585635359116
1,1,10,9,0.5605242868157286
1,1,10,7,0.5476009139375476
1,1,10,0,0.5441265976871577
