experiment_id,experiment_run,round,client_id,accuracy
2,3,1,20,0.8206185567010309
2,3,1,2,0.78419452887538
2,3,1,15,0.7432432432432432
2,3,1,18,0.7710280373831776
2,3,1,23,0.7165109034267912
2,3,1,9,0.8146341463414634
2,3,1,13,0.7601296596434359
2,3,1,10,0.80859375
2,3,1,5,0.7547169811320755
2,3,1,8,0.7694013303769401
2,3,1,6,0.7987987987987988
2,3,1,17,0.7811816192560175
2,3,1,22,0.7246376811594203
2,3,1,12,0.7045454545454546
2,3,1,19,0.8172757475083057
2,3,1,14,0.7231270358306189
2,3,1,16,0.7906066536203522
2,3,1,3,0.7777777777777778
2,3,1,7,0.7556109725685786
2,3,1,24,0.8483870967741935
2,3,1,4,0.7631578947368421
2,3,1,1,0.7886855241264559
2,3,1,0,0.7971360381861575
2,3,1,11,0.7289256198347107
2,3,1,21,0.7851239669421488
2,3,2,5,0.7358490566037735
2,3,2,23,0.660436137071651
2,3,2,11,0.740495867768595
2,3,2,2,0.7477203647416414
2,3,2,13,0.7536466774716369
2,3,2,21,0.6914600550964187
2,3,2,7,0.7605985037406484
2,3,2,12,0.6883116883116883
2,3,2,9,0.7048780487804878
2,3,2,19,0.584717607973422
2,3,2,18,0.7476635514018691
2,3,2,6,0.7657657657657657
2,3,2,0,0.7350835322195705
2,3,2,22,0.6920289855072463
2,3,2,8,0.7339246119733924
2,3,2,20,0.7938144329896907
2,3,2,4,0.7530364372469636
2,3,2,1,0.8136439267886856
2,3,2,10,0.7109375
2,3,2,17,0.7680525164113785
2,3,2,3,0.6570048309178744
2,3,2,24,0.7258064516129032
2,3,2,15,0.7128378378378378
2,3,2,14,0.6612377850162866
2,3,2,16,0.7671232876712328
2,3,3,9,0.8707317073170732
2,3,3,19,0.8073089700996677
2,3,3,24,0.8516129032258064
2,3,3,15,0.5506756756756757
2,3,3,17,0.8074398249452954
2,3,3,5,0.8037735849056604
2,3,3,3,0.7801932367149759
2,3,3,20,0.7587628865979381
2,3,3,13,0.8314424635332253
2,3,3,18,0.8084112149532711
2,3,3,7,0.6533665835411472
2,3,3,8,0.7716186252771619
2,3,3,14,0.6384364820846905
2,3,3,16,0.8101761252446184
2,3,3,12,0.7012987012987013
2,3,3,21,0.7603305785123967
2,3,3,11,0.743801652892562
2,3,3,10,0.77734375
2,3,3,23,0.7850467289719626
2,3,3,22,0.6992753623188406
2,3,3,4,0.7024291497975709
2,3,3,0,0.837708830548926
2,3,3,2,0.7689969604863222
2,3,3,1,0.8369384359400999
2,3,3,6,0.5975975975975976
2,3,4,24,0.6548387096774193
2,3,4,14,0.7296416938110749
2,3,4,8,0.8070953436807096
2,3,4,7,0.8204488778054863
2,3,4,15,0.8243243243243243
2,3,4,9,0.8536585365853658
2,3,4,19,0.8272425249169435
2,3,4,0,0.7899761336515513
2,3,4,21,0.6694214876033058
2,3,4,20,0.7381443298969073
2,3,4,16,0.8277886497064579
2,3,4,2,0.7537993920972644
2,3,4,22,0.7862318840579711
2,3,4,23,0.6915887850467289
2,3,4,13,0.813614262560778
2,3,4,3,0.8405797101449275
2,3,4,6,0.7927927927927928
2,3,4,4,0.7793522267206477
2,3,4,11,0.7289256198347107
2,3,4,1,0.8386023294509152
2,3,4,5,0.809433962264151
2,3,4,17,0.7855579868708972
2,3,4,10,0.859375
2,3,4,18,0.7710280373831776
2,3,4,12,0.7532467532467533
2,3,5,21,0.8484848484848485
2,3,5,8,0.8403547671840355
2,3,5,15,0.8614864864864865
2,3,5,2,0.9027355623100304
2,3,5,17,0.8358862144420132
2,3,5,6,0.7627627627627628
2,3,5,3,0.8816425120772947
2,3,5,12,0.801948051948052
2,3,5,23,0.7383177570093458
2,3,5,18,0.8598130841121495
2,3,5,16,0.812133072407045
2,3,5,7,0.8952618453865336
2,3,5,1,0.8668885191347754
2,3,5,0,0.8806682577565632
2,3,5,20,0.7958762886597938
2,3,5,5,0.8056603773584906
2,3,5,10,0.890625
2,3,5,13,0.8249594813614263
2,3,5,19,0.9136212624584718
2,3,5,22,0.822463768115942
2,3,5,14,0.7361563517915309
2,3,5,24,0.8451612903225807
2,3,5,4,0.8117408906882592
2,3,5,9,0.8951219512195122
2,3,5,11,0.7305785123966942
2,3,6,23,0.7663551401869159
2,3,6,12,0.75
2,3,6,20,0.8185567010309278
2,3,6,1,0.8119800332778702
2,3,6,6,0.8918918918918919
2,3,6,0,0.8544152744630071
2,3,6,11,0.8528925619834711
2,3,6,13,0.7649918962722853
2,3,6,24,0.9129032258064517
2,3,6,15,0.7668918918918919
2,3,6,10,0.90625
2,3,6,3,0.8671497584541062
2,3,6,17,0.912472647702407
2,3,6,5,0.8113207547169812
2,3,6,14,0.7882736156351792
2,3,6,2,0.9027355623100304
2,3,6,4,0.7692307692307693
2,3,6,21,0.8925619834710744
2,3,6,7,0.800498753117207
2,3,6,22,0.8152173913043478
2,3,6,16,0.6320939334637965
2,3,6,8,0.811529933481153
2,3,6,18,0.8878504672897196
2,3,6,9,0.8560975609756097
2,3,6,19,0.9069767441860465
2,3,7,5,0.6396226415094339
2,3,7,9,0.9292682926829269
2,3,7,0,0.8997613365155132
2,3,7,8,0.8669623059866962
2,3,7,7,0.8703241895261845
2,3,7,3,0.9033816425120773
2,3,7,15,0.8648648648648649
2,3,7,17,0.7658643326039387
2,3,7,12,0.7792207792207793
2,3,7,6,0.9009009009009009
2,3,7,21,0.8953168044077136
2,3,7,11,0.775206611570248
2,3,7,19,0.9169435215946844
2,3,7,22,0.75
2,3,7,4,0.8238866396761133
2,3,7,13,0.6969205834683955
2,3,7,24,0.8806451612903226
2,3,7,2,0.8328267477203647
2,3,7,14,0.7231270358306189
2,3,7,18,0.897196261682243
2,3,7,1,0.9034941763727121
2,3,7,16,0.8493150684931506
2,3,7,10,0.890625
2,3,7,20,0.7505154639175258
2,3,7,23,0.778816199376947
2,3,8,19,0.9136212624584718
2,3,8,17,0.9102844638949672
2,3,8,11,0.7504132231404959
2,3,8,10,0.91796875
2,3,8,21,0.8953168044077136
2,3,8,16,0.7651663405088063
2,3,8,0,0.8544152744630071
2,3,8,24,0.9290322580645162
2,3,8,23,0.794392523364486
2,3,8,3,0.8792270531400966
2,3,8,13,0.8038897893030794
2,3,8,1,0.778702163061564
2,3,8,7,0.8977556109725686
2,3,8,22,0.855072463768116
2,3,8,8,0.8558758314855875
2,3,8,15,0.8682432432432432
2,3,8,18,0.897196261682243
2,3,8,2,0.851063829787234
2,3,8,4,0.7834008097165992
2,3,8,20,0.8247422680412371
2,3,8,14,0.7947882736156352
2,3,8,12,0.8506493506493507
2,3,8,6,0.9069069069069069
2,3,8,9,0.9243902439024391
2,3,8,5,0.8547169811320755
2,3,9,1,0.870216306156406
2,3,9,14,0.8762214983713354
2,3,9,8,0.8536585365853658
2,3,9,11,0.7702479338842976
2,3,9,19,0.9368770764119602
2,3,9,3,0.8864734299516909
2,3,9,2,0.8814589665653495
2,3,9,16,0.8923679060665362
2,3,9,18,0.883177570093458
2,3,9,6,0.7627627627627628
2,3,9,12,0.6883116883116883
2,3,9,15,0.8682432432432432
2,3,9,21,0.8264462809917356
2,3,9,22,0.8804347826086957
2,3,9,23,0.8255451713395638
2,3,9,5,0.8452830188679246
2,3,9,24,0.9225806451612903
2,3,9,10,0.890625
2,3,9,20,0.7484536082474227
2,3,9,4,0.8643724696356275
