experiment_id,experiment_run,round,global_accuracy
2,4,0,0.0968
2,4,1,0.7643
2,4,2,0.7199
2,4,3,0.8368
2,4,4,0.8788
2,4,5,0.8957
2,4,6,0.9057
2,4,7,0.9118
2,4,8,0.9199
2,4,9,0.9204
2,4,10,0.9183
