experiment_id,experiment_run,round,client_id,fid
3,0,1,70,0.6419406694827532
3,0,1,83,0.6340954103679276
3,0,1,24,0.5599058529312163
3,0,1,8,0.5739939856427427
3,0,1,61,0.5726315839743477
3,0,1,20,0.6253478016098848
3,0,1,58,0.5935652085573194
3,0,1,77,0.9163376127578415
3,0,1,9,0.7851577574396448
3,0,1,7,0.7092241856950093
3,0,1,21,0.7427623325716837
3,0,1,91,0.5099984211826041
3,0,1,99,0.6620824558653886
3,0,1,18,0.5654540653904714
3,0,1,55,0.7035536299355702
3,0,1,98,0.667865041244061
3,0,1,27,0.7677776319284204
3,0,1,57,0.6759958574401175
3,0,1,53,0.6727053329382283
3,0,1,92,0.8914355907084712
3,0,1,78,0.5892653625173755
3,0,1,80,0.7144906712276472
3,0,1,90,0.8086504736776827
3,0,1,88,0.5929590715214662
3,0,1,75,0.8024319377647448
3,0,1,95,
3,0,1,35,0.5400648620125945
3,0,1,19,
3,0,1,67,0.8611868701480845
3,0,1,17,0.5993671567831107
3,0,1,0,0.6747864699932002
3,0,1,15,0.7776948773588739
3,0,1,10,0.5720039908859171
3,0,1,16,0.9126729310902126
3,0,1,72,0.585465354001055
3,0,1,52,
3,0,1,41,0.6704187190572866
3,0,1,81,0.6745672442413544
3,0,1,46,0.8941196294144207
3,0,1,43,
3,0,1,74,0.7923639448579898
3,0,1,86,0.6823889869905929
3,0,1,32,0.7520506608082368
3,0,1,23,0.7597016626051801
3,0,1,68,0.6763168275804937
3,0,1,14,0.6383736646275402
3,0,1,28,0.9389414474788771
3,0,1,2,0.5379865809670931
3,0,1,44,0.6326038661775518
3,0,1,65,0.7390135123074559
3,0,1,30,0.6920099826056552
3,0,1,71,0.6057704043421789
3,0,1,34,0.64106508923997
3,0,1,93,0.750286332826485
3,0,1,89,0.6823819455831478
3,0,1,76,0.5544257394206119
3,0,1,66,0.655943317717851
3,0,1,13,0.6702870170190273
3,0,1,22,0.9987724481163739
3,0,1,59,0.7206267608364718
3,0,1,84,0.6092867128425825
3,0,1,5,0.6722880788891674
3,0,1,3,0.8394301956713712
3,0,1,62,0.6424792454820638
3,0,1,39,0.8318045669390242
3,0,1,1,0.6755350766711936
3,0,1,87,
3,0,1,94,0.8619328996778175
