experiment_id,experiment_run,round,client_id,accuracy
1,2,1,5,0.383130081300813
1,2,1,6,0.5604265402843602
1,2,1,7,0.22876949740034663
1,2,1,9,0.31934731934731936
1,2,1,2,0.391025641025641
1,2,1,1,0.2659732540861813
1,2,1,3,0.34945196647324306
1,2,1,4,0.26046511627906976
1,2,1,8,0.3343002175489485
1,2,1,0,0.37715803452855245
1,2,2,0,0.5159362549800797
1,2,2,1,0.4346210995542348
1,2,2,3,0.4661508704061896
1,2,2,7,0.3188908145580589
1,2,2,5,0.681910569105691
1,2,2,6,0.6042654028436019
1,2,2,9,0.4801864801864802
1,2,2,2,0.48717948717948717
1,2,2,8,0.5387962291515591
1,2,2,4,0.4027906976744186
1,2,3,6,0.6315165876777251
1,2,3,4,0.4762790697674419
1,2,3,5,0.733739837398374
1,2,3,0,0.5524568393094289
1,2,3,7,0.38128249566724437
1,2,3,9,0.5198135198135199
1,2,3,2,0.4775641025641026
1,2,3,8,0.564902102973169
1,2,3,3,0.47775628626692457
1,2,3,1,0.4933135215453195
1,2,4,0,0.602921646746348
1,2,4,1,0.537890044576523
1,2,4,7,0.43500866551126516
1,2,4,5,0.7540650406504065
1,2,4,8,0.5902828136330674
1,2,4,9,0.6060606060606061
1,2,4,3,0.5261121856866537
1,2,4,2,0.5993589743589743
1,2,4,6,0.6753554502369669
1,2,4,4,0.5274418604651163
1,2,5,3,0.5538362346872985
1,2,5,8,0.6163886874546773
1,2,5,2,0.5897435897435898
1,2,5,1,0.5594353640416048
1,2,5,0,0.6301460823373174
1,2,5,7,0.44540727902946275
1,2,5,9,0.6503496503496503
1,2,5,4,0.5302325581395348
1,2,5,6,0.6978672985781991
1,2,5,5,0.7591463414634146
1,2,6,3,0.5448098001289491
1,2,6,5,0.7682926829268293
1,2,6,6,0.70260663507109
1,2,6,2,0.6025641025641025
1,2,6,7,0.5251299826689775
1,2,6,8,0.6729514140681654
1,2,6,4,0.5776744186046512
1,2,6,1,0.5965824665676077
1,2,6,9,0.6363636363636364
1,2,6,0,0.6301460823373174
1,2,7,5,0.7815040650406504
1,2,7,4,0.5832558139534884
1,2,7,2,0.6282051282051282
1,2,7,7,0.5164644714038128
1,2,7,9,0.6363636363636364
1,2,7,3,0.5796260477111541
1,2,7,1,0.6032689450222882
1,2,7,8,0.6852791878172588
1,2,7,6,0.7203791469194313
1,2,8,7,0.5251299826689775
1,2,8,5,0.7733739837398373
1,2,8,9,0.6666666666666666
1,2,8,8,0.6889050036258159
1,2,8,3,0.6163765312701482
1,2,8,6,0.731042654028436
1,2,8,0,0.6839309428950863
1,2,8,1,0.537890044576523
1,2,8,2,0.6185897435897436
1,2,8,4,0.5962790697674418
1,2,9,4,0.6018604651162791
1,2,9,2,0.6666666666666666
1,2,9,3,0.6157317859445519
1,2,9,0,0.6985391766268261
1,2,9,1,0.5661218424962853
1,2,9,5,0.7896341463414634
1,2,9,6,0.7417061611374408
1,2,9,7,0.5459272097053726
1,2,9,8,0.7070340826686005
1,2,9,9,0.6573426573426573
1,2,10,1,0.6092124814264487
1,2,10,6,0.7796208530805687
1,2,10,8,0.7048585931834663
1,2,10,9,0.6596736596736597
1,2,10,5,0.7865853658536586
1,2,10,7,0.5771230502599654
1,2,10,0,0.6879150066401063
1,2,10,4,0.6037209302325581
1,2,10,3,0.6331399097356544
1,2,10,2,0.6378205128205128
