experiment_id,experiment_run,round,client_id,kl_divergence
4,2,1,48,2.1723811626434326
4,2,1,60,2.0019538402557373
4,2,1,57,2.2382657527923584
4,2,1,55,2.015376329421997
4,2,1,31,2.656475305557251
4,2,1,3,1.8659430742263794
4,2,1,37,2.2192208766937256
4,2,1,11,2.7662901878356934
4,2,1,27,2.8250770568847656
4,2,1,69,2.6685757637023926
4,2,1,65,2.4789927005767822
4,2,1,93,2.7990946769714355
4,2,1,91,2.456146717071533
4,2,1,18,2.100003957748413
4,2,1,58,2.0687196254730225
4,2,1,28,2.2615489959716797
4,2,1,86,2.4401676654815674
4,2,1,15,4.757908821105957
4,2,1,59,2.461103677749634
4,2,1,10,2.2994308471679688
4,2,1,21,2.831084966659546
4,2,1,97,2.128382921218872
4,2,1,84,1.9004448652267456
4,2,1,82,3.5989456176757812
4,2,1,46,2.3756260871887207
4,2,1,16,2.735980749130249
4,2,1,30,2.519063711166382
4,2,1,42,1.8784111738204956
4,2,1,6,1.6140940189361572
4,2,1,64,3.4705371856689453
4,2,1,63,1.1003259420394897
4,2,1,73,2.6903111934661865
4,2,1,38,2.4035115242004395
4,2,1,52,3.9522898197174072
4,2,1,72,2.7485876083374023
4,2,1,22,2.8841607570648193
4,2,1,80,2.41302490234375
4,2,1,19,2.1187639236450195
4,2,1,77,2.2772164344787598
4,2,1,5,2.547701120376587
4,2,1,20,2.7880189418792725
4,2,1,95,2.8822057247161865
4,2,1,36,1.9379544258117676
4,2,1,47,2.42598557472229
4,2,1,1,3.118563175201416
4,2,1,68,3.314281940460205
4,2,1,75,3.170539379119873
4,2,1,32,3.7068564891815186
4,2,1,62,2.3358867168426514
4,2,1,83,3.125351667404175
4,2,1,23,2.6969361305236816
4,2,1,54,1.8669137954711914
4,2,1,49,2.764786720275879
4,2,1,98,2.545131206512451
4,2,1,85,3.2507729530334473
4,2,1,0,3.2251646518707275
4,2,1,33,1.3219977617263794
4,2,1,51,2.3548495769500732
4,2,1,24,1.9374654293060303
4,2,1,87,2.2869226932525635
4,2,1,2,2.1862213611602783
4,2,1,43,1.8958135843276978
4,2,1,94,2.232257843017578
4,2,1,96,2.867548704147339
4,2,1,25,2.15929913520813
4,2,1,50,3.078568458557129
4,2,1,76,3.4496514797210693
