experiment_id,experiment_run,round,client_id,kl_divergence
1,3,1,0,0.35604795813560486
1,3,1,5,0.3186546266078949
1,3,1,4,0.529986560344696
1,3,1,2,0.21776069700717926
1,3,1,8,0.37665149569511414
1,3,1,1,0.39062660932540894
1,3,1,7,0.2318192571401596
1,3,1,6,0.20632071793079376
1,3,1,3,0.398180216550827
1,3,1,9,0.3214510679244995
1,3,2,5,0.3197256922721863
1,3,2,0,0.37069717049598694
1,3,2,8,0.31618332862854004
1,3,2,9,0.42364469170570374
1,3,2,1,0.395929217338562
1,3,2,2,0.34668973088264465
1,3,2,4,0.5171449184417725
1,3,2,7,0.2564237415790558
1,3,2,6,0.4257257580757141
1,3,2,3,0.5342926979064941
1,3,3,8,0.2202661782503128
1,3,3,9,0.380819708108902
1,3,3,3,0.21157033741474152
1,3,3,6,0.26319652795791626
1,3,3,1,0.3085581958293915
1,3,3,5,0.17854923009872437
1,3,3,4,0.2357570230960846
1,3,3,0,0.409336119890213
1,3,3,2,0.21783870458602905
1,3,3,7,0.23021824657917023
1,3,4,3,0.29608240723609924
1,3,4,4,0.32330888509750366
1,3,4,8,0.18162697553634644
1,3,4,2,0.1652267426252365
1,3,4,9,0.23027269542217255
1,3,4,1,0.15431906282901764
1,3,4,5,0.2012428343296051
1,3,4,0,0.1532600075006485
1,3,4,6,0.14826573431491852
1,3,4,7,0.22424204647541046
1,3,5,9,0.17453137040138245
1,3,5,5,0.08738701045513153
1,3,5,4,0.3301100730895996
1,3,5,3,0.22399072349071503
1,3,5,7,0.16017261147499084
1,3,5,1,0.1938013732433319
1,3,5,2,0.08816047012805939
1,3,5,8,0.33565863966941833
1,3,5,6,0.11579465866088867
1,3,5,0,0.1401970237493515
1,3,6,7,0.1676194667816162
1,3,6,1,0.14663860201835632
1,3,6,4,0.2721230089664459
1,3,6,2,0.0801670253276825
1,3,6,3,0.17562013864517212
1,3,6,5,0.08783383667469025
1,3,6,9,0.15935611724853516
1,3,6,8,0.24790851771831512
1,3,6,0,0.08286573737859726
1,3,6,6,0.10831649601459503
1,3,7,1,0.13337703049182892
1,3,7,6,0.16044411063194275
1,3,7,2,0.10739916563034058
1,3,7,7,0.17642846703529358
1,3,7,8,0.3049105703830719
1,3,7,0,0.1008048951625824
1,3,7,9,0.15142840147018433
1,3,7,3,0.20427334308624268
1,3,7,4,0.38331884145736694
1,3,7,5,0.11568878591060638
1,3,8,7,0.16344648599624634
1,3,8,2,0.0681503564119339
1,3,8,4,0.28899410367012024
1,3,8,8,0.2530187666416168
1,3,8,0,0.1660148948431015
1,3,8,6,0.1588342785835266
1,3,8,3,0.3361407518386841
1,3,8,9,0.1707683950662613
1,3,8,5,0.08319081366062164
1,3,8,1,0.16464076936244965
1,3,9,3,0.15872813761234283
1,3,9,8,0.26542776823043823
1,3,9,1,0.11888274550437927
1,3,9,4,0.37893441319465637
1,3,9,2,0.09272211790084839
1,3,9,0,0.1527077704668045
1,3,9,7,0.19577671587467194
1,3,9,5,0.0915042832493782
1,3,9,9,0.22682328522205353
1,3,9,6,0.11452418565750122
1,3,10,2,0.07068758457899094
1,3,10,3,0.298005610704422
1,3,10,6,0.16776877641677856
1,3,10,4,0.3117515742778778
1,3,10,0,0.23207208514213562
1,3,10,5,0.13183476030826569
1,3,10,9,0.15389975905418396
1,3,10,8,0.3151523768901825
1,3,10,1,0.15963950753211975
1,3,10,7,0.22639697790145874
