experiment_id,experiment_run,round,client_id,mmd
1,3,1,0,0.6411973237991333
1,3,1,5,0.6891194581985474
1,3,1,4,0.689149022102356
1,3,1,2,0.6437644958496094
1,3,1,8,0.6973459720611572
1,3,1,1,0.7286083698272705
1,3,1,7,0.7677901983261108
1,3,1,6,0.6775728464126587
1,3,1,3,0.7434542179107666
1,3,1,9,0.7001626491546631
1,3,2,5,0.2847172021865845
1,3,2,0,0.39144814014434814
1,3,2,8,0.2940152883529663
1,3,2,9,0.3143414258956909
1,3,2,1,0.2715569734573364
1,3,2,2,0.2419048547744751
1,3,2,4,0.2740797996520996
1,3,2,7,0.34037113189697266
1,3,2,6,0.370444655418396
1,3,2,3,0.31102442741394043
1,3,3,8,0.138738751411438
1,3,3,9,0.11538612842559814
1,3,3,3,0.10288965702056885
1,3,3,6,0.0964587926864624
1,3,3,1,0.12333798408508301
1,3,3,5,0.10335397720336914
1,3,3,4,0.2227553129196167
1,3,3,0,0.1413412094116211
1,3,3,2,0.15733909606933594
1,3,3,7,0.14008581638336182
1,3,4,3,0.07305073738098145
1,3,4,4,0.1367737054824829
1,3,4,8,0.0871955156326294
1,3,4,2,0.08928191661834717
1,3,4,9,0.10384857654571533
1,3,4,1,0.07002222537994385
1,3,4,5,0.056974172592163086
1,3,4,0,0.06556463241577148
1,3,4,6,0.046506404876708984
1,3,4,7,0.1286182403564453
1,3,5,9,0.07659471035003662
1,3,5,5,0.021031618118286133
1,3,5,4,0.09917497634887695
1,3,5,3,0.05137622356414795
1,3,5,7,0.05656564235687256
1,3,5,1,0.041596412658691406
1,3,5,2,0.04437100887298584
1,3,5,8,0.06175696849822998
1,3,5,6,0.027187824249267578
1,3,5,0,0.04542875289916992
1,3,6,7,0.05165886878967285
1,3,6,1,0.03956758975982666
1,3,6,4,0.07703077793121338
1,3,6,2,0.04507923126220703
1,3,6,3,0.06335282325744629
1,3,6,5,0.04495871067047119
1,3,6,9,0.0419309139251709
1,3,6,8,0.032660603523254395
1,3,6,0,0.05335688591003418
1,3,6,6,0.04848802089691162
1,3,7,1,0.03349947929382324
1,3,7,6,0.042563676834106445
1,3,7,2,0.03786194324493408
1,3,7,7,0.05170297622680664
1,3,7,8,0.04245448112487793
1,3,7,0,0.04366862773895264
1,3,7,9,0.03655219078063965
1,3,7,3,0.04323768615722656
1,3,7,4,0.054004549980163574
1,3,7,5,0.019778132438659668
1,3,8,7,0.0408170223236084
1,3,8,2,0.028697609901428223
1,3,8,4,0.04597640037536621
1,3,8,8,0.03704273700714111
1,3,8,0,0.04863131046295166
1,3,8,6,0.04622054100036621
1,3,8,3,0.032964229583740234
1,3,8,9,0.038178443908691406
1,3,8,5,0.017065882682800293
1,3,8,1,0.040467262268066406
1,3,9,3,0.026482701301574707
1,3,9,8,0.02318882942199707
1,3,9,1,0.024033308029174805
1,3,9,4,0.031336069107055664
1,3,9,2,0.015606522560119629
1,3,9,0,0.04343986511230469
1,3,9,7,0.03199267387390137
1,3,9,5,0.01677262783050537
1,3,9,9,0.02999579906463623
1,3,9,6,0.04798316955566406
1,3,10,2,0.015808463096618652
1,3,10,3,0.0410919189453125
1,3,10,6,0.03934073448181152
1,3,10,4,0.03194379806518555
1,3,10,0,0.036403656005859375
1,3,10,5,0.016087055206298828
1,3,10,9,0.03243613243103027
1,3,10,8,0.021143555641174316
1,3,10,1,0.02465355396270752
1,3,10,7,0.030189037322998047
