experiment_id,experiment_run,round,client_id,accuracy
1,0,1,2,0.9461358313817331
1,0,1,5,0.9789473684210527
1,0,1,7,0.9454253611556982
1,0,1,1,0.9202127659574468
1,0,1,6,0.8333333333333334
1,0,1,4,0.9713086074177747
1,0,1,8,0.9034464614575112
1,0,1,0,0.9894736842105263
1,0,1,3,0.9482936918304034
1,0,1,9,0.9353007945516458
1,0,2,4,0.9265220433869839
1,0,2,5,0.9766081871345029
1,0,2,0,0.9578947368421052
1,0,2,6,0.7543859649122807
1,0,2,9,0.9194097616345063
1,0,2,3,0.9286452947259566
1,0,2,8,0.9431728492501973
1,0,2,7,0.9293739967897271
1,0,2,2,0.9203747072599532
1,0,2,1,0.8297872340425532
1,0,3,3,0.9338159255429163
1,0,3,2,0.9578454332552693
1,0,3,4,0.9727081875437369
1,0,3,0,0.968421052631579
1,0,3,6,0.8245614035087719
1,0,3,8,0.9355432780847146
1,0,3,5,0.9730994152046784
1,0,3,9,0.9511918274687855
1,0,3,7,0.9462279293739968
1,0,3,1,0.9680851063829787
1,0,4,2,0.9461358313817331
1,0,4,3,0.9389865563598759
1,0,4,0,0.9789473684210527
1,0,4,6,0.868421052631579
1,0,4,4,0.9727081875437369
1,0,4,9,0.9296254256526674
1,0,4,1,0.9574468085106383
1,0,4,5,0.9789473684210527
1,0,4,7,0.9518459069020867
1,0,4,8,0.9297553275453828
1,0,5,9,0.9137343927355278
1,0,5,1,0.9840425531914894
1,0,5,2,0.955503512880562
1,0,5,4,0.9678096571028691
1,0,5,8,0.9229150223625362
1,0,5,0,0.9894736842105263
1,0,5,6,0.9122807017543859
1,0,5,5,0.9812865497076023
1,0,5,3,0.9358841778697001
1,0,5,7,0.9614767255216693
1,0,6,6,0.8859649122807017
1,0,6,7,0.9373996789727127
1,0,6,1,0.973404255319149
1,0,6,2,0.955503512880562
1,0,6,4,0.9685094471658502
1,0,6,0,0.968421052631579
1,0,6,5,0.9801169590643275
1,0,6,8,0.9373848987108656
1,0,6,9,0.9443813847900113
1,0,6,3,0.9431230610134437
1,0,7,5,0.9812865497076023
1,0,7,9,0.9557321225879682
1,0,7,8,0.9373848987108656
1,0,7,1,0.9680851063829787
1,0,7,0,0.9789473684210527
1,0,7,2,0.955503512880562
1,0,7,7,0.9510433386837881
1,0,7,6,0.9035087719298246
1,0,7,3,0.9369183040330921
1,0,7,4,0.9776067179846046
1,0,8,7,0.956661316211878
1,0,8,9,0.9125993189557321
1,0,8,1,0.9627659574468085
1,0,8,4,0.9657102869139258
1,0,8,6,0.8771929824561403
1,0,8,0,0.9894736842105263
1,0,8,3,0.9317476732161324
1,0,8,2,0.9578454332552693
1,0,8,5,0.9824561403508771
1,0,8,8,0.9229150223625362
1,0,9,8,0.9421204946066825
1,0,9,3,0.9420889348500517
1,0,9,6,0.8596491228070176
1,0,9,1,0.973404255319149
1,0,9,7,0.9622792937399679
1,0,9,4,0.9720083974807557
1,0,9,0,0.9894736842105263
1,0,9,2,0.9508196721311475
1,0,9,9,0.9659477866061293
1,0,9,5,0.9812865497076023
1,0,10,0,0.9894736842105263
1,0,10,9,0.9353007945516458
1,0,10,3,0.9307135470527405
1,0,10,6,0.8859649122807017
1,0,10,2,0.9578454332552693
1,0,10,7,0.9751203852327448
1,0,10,8,0.9481715338068929
1,0,10,1,0.9680851063829787
1,0,10,4,0.9776067179846046
1,0,10,5,0.9789473684210527
