experiment_id,experiment_run,round,global_accuracy
1,0,0,0.0997
1,0,1,0.4716
1,0,2,0.1716
1,0,3,0.4916
1,0,4,0.5007
1,0,5,0.5095
1,0,6,0.525
1,0,7,0.5181
1,0,8,0.5034
1,0,9,0.5265
1,0,10,0.5209
