experiment_id,experiment_run,round,client_id,fid
2,4,1,14,0.8950986788465857
2,4,1,7,0.9106426332760451
2,4,1,0,0.9002310332167058
2,4,1,8,0.9270250201117534
2,4,1,13,0.8850731219086005
2,4,2,21,0.3842080441822879
2,4,2,1,0.4473376588596498
2,4,2,6,0.42117589315984993
2,4,2,5,0.3646945974196673
2,4,2,18,0.3921964631253363
2,4,2,17,0.39546722947964524
2,4,2,2,0.4323863208748202
2,4,2,20,0.46435900348939174
2,4,2,15,0.38157532365971725
2,4,2,24,0.39869336312814296
2,4,2,16,0.3696135710274038
2,4,2,4,0.372554883789034
2,4,2,3,0.3832385568591846
2,4,2,22,0.3977384020810161
2,4,2,10,0.36527200771462587
2,4,2,8,0.4212823004755244
2,4,2,0,0.3629837374531226
2,4,2,14,0.5046929540790318
2,4,2,11,0.4112425795468011
2,4,2,9,0.41390619838502707
2,4,2,12,0.38430063874513515
2,4,2,19,0.41625370906327763
2,4,2,23,0.4127762065209896
2,4,2,7,0.3859659140293477
2,4,2,13,0.41404863582945883
2,4,3,7,0.08137232849461207
2,4,3,11,0.13273931151778345
2,4,3,13,0.11210679221940817
2,4,3,24,0.07078679450463941
2,4,3,3,0.10234250802240308
2,4,3,8,0.10982071073947035
2,4,3,20,0.10719342340480151
2,4,3,19,0.23590101219234813
2,4,3,1,0.12354911724906126
2,4,3,0,0.11028641914649596
2,4,3,5,0.11427034772363255
2,4,3,16,0.08585334116351138
2,4,3,23,0.10919617639317719
2,4,3,4,0.10025347330174254
2,4,3,15,0.08214034824115576
2,4,3,9,0.12142336253488081
2,4,3,14,0.11400433730907047
2,4,3,6,0.12626359630059938
2,4,3,10,0.08558898689919463
2,4,3,18,0.12269522952693443
2,4,3,22,0.0857875586607603
2,4,3,21,0.09659384850598612
2,4,3,2,0.06419824059302923
2,4,3,12,0.1085859138025708
2,4,3,17,0.1136233453710689
2,4,4,24,0.04485731398900682
2,4,4,8,0.06464617863771505
2,4,4,22,0.04468170018496076
2,4,4,10,0.09172566935422061
