experiment_id,experiment_run,round,client_id,kl_divergence
2,4,1,14,3.185765266418457
2,4,1,7,2.9666521549224854
2,4,1,0,3.152045726776123
2,4,1,8,3.3171021938323975
2,4,1,13,2.5598881244659424
2,4,2,21,2.1338229179382324
2,4,2,1,2.4433040618896484
2,4,2,6,2.357142686843872
2,4,2,5,2.0745041370391846
2,4,2,18,1.8912009000778198
2,4,2,17,2.0271594524383545
2,4,2,2,3.745694398880005
2,4,2,20,2.255713939666748
2,4,2,15,2.3762972354888916
2,4,2,24,2.440967321395874
2,4,2,16,2.0801596641540527
2,4,2,4,2.2936923503875732
2,4,2,3,2.331969738006592
2,4,2,22,2.7659659385681152
2,4,2,10,2.2551846504211426
2,4,2,8,2.716665506362915
2,4,2,0,1.99117112159729
2,4,2,14,3.1095571517944336
2,4,2,11,2.0204153060913086
2,4,2,9,2.3081307411193848
2,4,2,12,2.3192663192749023
2,4,2,19,2.028245449066162
2,4,2,23,2.3159494400024414
2,4,2,7,2.3054592609405518
2,4,2,13,1.9035636186599731
2,4,3,7,0.3864951431751251
2,4,3,11,0.3663567900657654
2,4,3,13,0.2883264720439911
2,4,3,24,0.31986114382743835
2,4,3,3,0.30927643179893494
2,4,3,8,0.46128565073013306
2,4,3,20,0.20800308883190155
2,4,3,19,0.7919201850891113
2,4,3,1,0.46222320199012756
2,4,3,0,0.36021536588668823
2,4,3,5,0.5924499034881592
2,4,3,16,0.25775474309921265
2,4,3,23,0.33850809931755066
2,4,3,4,0.3489164113998413
2,4,3,15,0.49087896943092346
2,4,3,9,0.5413514375686646
2,4,3,14,0.44980448484420776
2,4,3,6,0.36613568663597107
2,4,3,10,0.3828504681587219
2,4,3,18,0.40781518816947937
2,4,3,22,0.42172735929489136
2,4,3,21,0.47041794657707214
2,4,3,2,0.320963978767395
2,4,3,12,0.4837518036365509
2,4,3,17,0.3318032920360565
2,4,4,24,0.19546373188495636
2,4,4,8,0.2689247727394104
2,4,4,22,0.16516928374767303
2,4,4,10,0.1892632693052292
2,4,4,15,0.2180662900209427
2,4,4,18,0.21742276847362518
2,4,4,2,0.15052150189876556
2,4,4,7,0.18516825139522552
2,4,4,23,0.21312536299228668
2,4,4,6,0.15041577816009521
2,4,4,14,0.22470122575759888
2,4,4,16,0.1614219844341278
2,4,4,4,0.1740107536315918
2,4,4,3,0.2017170637845993
2,4,4,12,0.1457718014717102
2,4,4,0,0.14745943248271942
2,4,4,1,0.24115192890167236
2,4,4,11,0.16996891796588898
2,4,4,9,0.317600280046463
2,4,4,13,0.1368921995162964
2,4,4,20,0.1458800882101059
2,4,4,21,0.1150706484913826
2,4,4,5,0.23929770290851593
2,4,4,19,0.295882910490036
2,4,4,17,0.15179216861724854
2,4,5,22,0.13261736929416656
2,4,5,8,0.13728055357933044
2,4,5,17,0.15810401737689972
2,4,5,1,0.2098955512046814
2,4,5,9,0.18410624563694
2,4,5,12,0.16173025965690613
2,4,5,21,0.0869622528553009
2,4,5,3,0.15887676179409027
2,4,5,10,0.13975057005882263
2,4,5,14,0.1851535141468048
2,4,5,20,0.13216914236545563
2,4,5,24,0.11319912225008011
2,4,5,7,0.2014211118221283
2,4,5,6,0.13632474839687347
2,4,5,19,0.2819505035877228
2,4,5,18,0.14276942610740662
2,4,5,5,0.1769869178533554
2,4,5,4,0.13421714305877686
2,4,5,11,0.15068210661411285
2,4,5,23,0.12980350852012634
2,4,5,13,0.1487628072500229
2,4,5,2,0.23285537958145142
2,4,5,0,0.11731687933206558
2,4,5,15,0.19735629856586456
2,4,5,16,0.12539175152778625
2,4,6,7,0.1290704756975174
2,4,6,2,0.14390748739242554
2,4,6,8,0.16578765213489532
2,4,6,20,0.09927832335233688
2,4,6,4,0.1179284006357193
2,4,6,5,0.22139154374599457
2,4,6,18,0.1574382334947586
2,4,6,22,0.12739208340644836
2,4,6,6,0.21111610531806946
2,4,6,17,0.13463884592056274
2,4,6,11,0.15990683436393738
2,4,6,19,0.3406025767326355
2,4,6,23,0.11235938221216202
2,4,6,13,0.17663930356502533
2,4,6,0,0.24958671629428864
2,4,6,9,0.1420447826385498
2,4,6,1,0.15251000225543976
2,4,6,21,0.08873435854911804
2,4,6,16,0.10096964985132217
2,4,6,15,0.14050160348415375
2,4,6,14,0.19222265481948853
2,4,6,3,0.21742212772369385
2,4,6,10,0.1665887087583542
2,4,6,12,0.10739146173000336
2,4,6,24,0.09195239841938019
2,4,7,5,0.14818227291107178
2,4,7,15,0.1835000067949295
2,4,7,13,0.2071266621351242
2,4,7,0,0.0744561180472374
2,4,7,17,0.11634904146194458
2,4,7,11,0.15252289175987244
2,4,7,16,0.12031100690364838
2,4,7,24,0.08477406203746796
2,4,7,3,0.07813603430986404
2,4,7,9,0.12637031078338623
2,4,7,12,0.09004053473472595
2,4,7,4,0.23703917860984802
2,4,7,23,0.151930570602417
2,4,7,22,0.09624660015106201
2,4,7,19,0.2285301834344864
2,4,7,18,0.2540147304534912
2,4,7,8,0.0866137221455574
2,4,7,14,0.13901087641716003
2,4,7,10,0.15287265181541443
2,4,7,7,0.08732378482818604
2,4,7,2,0.08903048932552338
2,4,7,21,0.0739845409989357
2,4,7,1,0.13828244805335999
2,4,7,6,0.15384551882743835
2,4,7,20,0.09318821877241135
