experiment_id,experiment_run,round,client_id,kl_divergence
7,0,0,9,3.55215546101152
7,0,0,4,4.218370604933354
7,0,0,1,4.2269521753940555
7,0,0,2,3.7952548980712892
7,0,0,6,3.497374714196921
7,0,0,7,3.9716544378371466
7,0,0,5,3.606260033387173
7,0,0,0,3.961622268434555
7,0,0,8,3.84815646504031
7,0,0,3,3.924937905786244
7,0,1,0,2.070801195644197
7,0,1,8,1.8731636750337874
7,0,1,2,2.3909318513959366
7,0,1,7,2.240871478640844
7,0,1,3,2.3793095594697684
7,0,1,5,2.360642292204243
7,0,1,9,2.218327099791622
7,0,1,6,2.081264211170709
7,0,1,1,2.6265601815064548
7,0,1,4,1.8151418011384437
7,0,2,1,0.5837818200794637
7,0,2,2,0.5554918489723563
7,0,2,4,0.5454036509231187
7,0,2,9,0.6621947347381969
7,0,2,8,0.4346288680740168
7,0,2,7,0.5524048095657712
7,0,2,6,0.5459276549435298
7,0,2,3,0.6519796224645128
7,0,2,0,0.503533455114516
7,0,2,5,0.5804358253034176
