experiment_id,experiment_run,round,global_accuracy
1,1,0,0.1
1,1,1,0.1
1,1,2,0.1305
1,1,3,0.168
1,1,4,0.2831
1,1,5,0.3272
1,1,6,0.3566
1,1,7,0.3909
1,1,8,0.429
1,1,9,0.4463
1,1,10,0.4674
